timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,2,0,0,0,0,2,0,0
2,4,2,0,0,2,2,0,0,0,2,0,0
3,2,6,0,0,0,4,0,0,2,2,0,0
4,2,8,0,0,2,4,0,0,0,4,0,0
6,2,10,0,0,0,6,0,0,0,4,0,0
7,2,12,0,0,2,6,0,0,2,4,0,0
8,2,14,0,0,0,8,0,0,0,6,0,0
9,2,18,0,0,0,10,0,0,2,6,0,0
10,2,20,0,0,2,10,0,0,2,6,0,0
12,4,20,0,0,0,12,0,0,0,8,0,0
13,2,24,0,0,2,12,0,0,2,8,0,0
14,2,26,0,0,2,14,0,0,0,10,0,0
15,2,30,0,0,2,14,0,0,2,10,0,0
17,2,32,0,0,2,16,0,0,0,12,0,0
18,2,34,0,0,0,18,0,0,0,12,0,0
19,2,36,0,0,2,18,0,0,2,12,0,0
20,2,40,0,0,2,20,0,0,0,14,0,0
22,2,42,0,0,2,20,0,0,2,14,0,0
23,2,44,0,0,2,22,0,0,0,16,0,0
24,2,46,0,0,2,24,0,0,2,16,0,0
26,4,48,0,0,0,26,0,0,2,16,0,0
27,4,50,0,0,2,26,0,0,0,18,0,0
28,2,54,0,0,2,28,0,0,2,18,0,0
30,4,56,0,0,2,28,0,0,0,20,0,0
31,2,60,0,0,2,30,0,0,2,20,0,0
32,2,62,0,0,2,32,0,0,0,22,0,0
34,4,64,0,0,0,34,0,0,2,22,0,0
35,2,68,0,0,2,34,0,0,0,24,0,0
37,2,70,0,0,2,36,0,0,2,24,0,0
38,2,74,0,0,0,38,0,0,2,24,0,0
40,2,76,0,0,2,38,0,0,2,26,0,0
41,4,78,0,0,2,40,0,0,2,26,0,0
42,4,80,0,0,0,42,0,0,0,28,0,0
44,2,84,0,0,0,44,0,0,2,28,0,0
45,2,88,0,0,2,44,0,0,0,30,0,0
47,2,90,0,0,2,46,0,0,2,30,0,0
48,4,92,0,0,0,48,0,0,0,32,0,0
50,2,96,0,0,2,48,0,0,2,32,0,0
51,2,100,0,0,2,50,0,0,0,34,0,0
53,2,102,0,0,2,52,0,0,2,34,0,0
54,2,106,0,0,0,54,0,0,0,36,0,0
56,2,108,0,0,2,54,0,0,2,36,0,0
58,2,112,0,0,2,56,0,0,0,38,0,0
59,2,114,0,0,2,58,0,0,0,40,0,0
61,2,118,0,0,0,60,0,0,0,40,0,0
62,0,120,0,0,0,60,0,0,0,40,0,0
64,0,118,2,0,0,60,0,0,0,38,2,0
66,0,116,4,0,0,58,2,0,0,38,2,0
67,0,112,8,0,0,56,4,0,0,36,4,0
69,0,108,12,0,0,54,6,0,0,36,4,0
70,0,106,14,0,0,52,8,0,0,34,6,0
72,0,104,16,0,0,52,8,0,0,34,6,0
74,0,100,20,0,0,50,10,0,0,32,8,0
75,0,96,24,0,0,48,12,0,0,32,8,0
77,0,94,26,0,0,46,14,0,0,30,10,0
78,0,92,28,0,0,44,16,0,0,30,10,0
80,0,86,34,0,0,44,16,0,0,28,12,0
82,0,84,36,0,0,42,18,0,0,28,12,0
83,0,82,38,0,0,40,20,0,0,26,14,0
85,0,76,44,0,0,38,22,0,0,26,14,0
86,0,76,44,0,0,36,24,0,0,24,16,0
88,0,72,48,0,0,36,24,0,0,22,18,0
90,0,68,52,0,0,32,28,0,0,22,18,0
91,0,66,54,0,0,32,28,0,0,20,20,0
93,0,62,58,0,0,30,30,0,0,20,20,0
95,0,58,62,0,0,28,32,0,0,18,22,0
96,0,56,64,0,0,28,32,0,0,18,22,0
98,0,54,66,0,0,26,34,0,0,16,24,0
99,0,48,72,0,0,24,36,0,0,16,24,0
101,0,46,74,0,0,22,38,0,0,14,26,0
103,0,42,78,0,0,20,40,0,0,14,26,0
104,0,38,82,0,0,20,40,0,0,12,28,0
106,0,36,84,0,0,18,42,0,0,12,28,0
107,0,34,86,0,0,16,44,0,0,10,30,0
109,0,30,90,0,0,14,46,0,0,8,32,0
111,0,26,94,0,0,12,48,0,0,8,32,0
112,0,22,98,0,0,10,50,0,0,6,34,0
114,0,18,102,0,0,8,52,0,0,6,34,0
116,0,18,102,0,0,8,52,0,0,4,36,0
117,0,14,106,0,0,6,54,0,0,4,36,0
119,0,10,110,0,0,4,56,0,0,2,38,0
121,0,8,112,0,0,2,58,0,0,2,38,0
122,0,4,116,0,0,2,58,0,0,0,40,0
124,0,2,118,0,0,0,60,0,0,0,40,0
125,0,0,120,0,0,0,60,0,0,0,40,0
