experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E6,5,tenant1,120,49,1,3600,3649,121
E6,5,tenant2,120,49,1,3601,3650,180
E6,5,tenant3,120,46,1,3601,3647,238
