experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E2,1,tenant1,768,153635,800,34564,188199,1991
E2,1,tenant2,256,17038,266,7680,24718,832
E2,1,tenant3,242,55476,458,7261,62737,1520
E2,2,tenant1,768,153618,800,34562,188180,1991
E2,2,tenant2,256,17029,266,7683,24712,831
E2,2,tenant3,242,56752,469,7260,64012,1518
E2,3,tenant1,768,153647,800,34563,188210,1992
E2,3,tenant2,256,17037,266,7680,24717,832
E2,3,tenant3,242,56725,469,7261,63986,1519
E2,4,tenant1,768,153653,800,34562,188215,1991
E2,4,tenant2,256,17039,266,7680,24719,831
E2,4,tenant3,242,55462,458,7262,62724,1520
E2,5,tenant1,768,153641,800,34563,188204,1991
E2,5,tenant2,256,17034,266,7681,24715,831
E2,5,tenant3,242,56789,469,7260,64049,1519
