experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E4,1,tenant1,768,15898,83,34562,50460,643
E4,1,tenant2,256,14722,230,7682,22404,563
E4,1,tenant3,242,30213,250,7262,37475,474
E4,2,tenant1,768,16798,87,34561,51359,643
E4,2,tenant2,256,13436,210,7683,21119,554
E4,2,tenant3,242,30591,253,7262,37853,474
E4,3,tenant1,768,17003,89,34564,51567,655
E4,3,tenant2,256,13561,212,7682,21243,565
E4,3,tenant3,242,30523,252,7262,37785,475
E4,4,tenant1,768,15785,82,34562,50347,656
E4,4,tenant2,256,14192,222,7681,21873,566
E4,4,tenant3,242,30934,256,7260,38194,477
E4,5,tenant1,768,16718,87,34560,51278,656
E4,5,tenant2,256,13591,212,7681,21272,487
E4,5,tenant3,242,30646,253,7262,37908,478
