experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E4,1,tenant1,768,27714,144,34560,62274,663
E4,1,tenant2,256,9748,152,7682,17430,508
E4,1,tenant3,242,21653,179,7261,28914,463
E4,2,tenant1,768,28263,147,34561,62824,646
E4,2,tenant2,256,10026,157,7680,17706,525
E4,2,tenant3,242,17580,145,7261,24841,455
E4,3,tenant1,768,31369,163,34562,65931,644
E4,3,tenant2,256,12566,196,7681,20247,544
E4,3,tenant3,242,9310,77,7263,16573,375
E4,4,tenant1,768,28617,149,34563,63180,616
E4,4,tenant2,256,10304,161,7681,17985,547
E4,4,tenant3,242,15161,125,7261,22422,469
E4,5,tenant1,768,30480,159,34564,65044,628
E4,5,tenant2,256,7387,115,7680,15067,495
E4,5,tenant3,242,14985,124,7261,22246,460
