timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
2,84,0,0,0,0,0,0,0,0,0,0,0
3,124,0,0,0,0,0,0,0,0,0,0,0
4,164,0,0,0,0,0,0,0,0,0,0,0
6,192,12,0,0,0,0,0,0,0,0,0,0
7,232,20,0,0,0,0,0,0,0,0,0,0
8,280,20,0,0,0,0,0,0,0,0,0,0
10,304,32,0,0,0,0,0,0,0,0,0,0
11,328,48,0,0,0,0,0,0,0,0,0,0
13,320,64,0,0,0,0,0,0,0,0,0,0
14,292,92,0,0,0,0,0,0,0,0,0,0
15,260,124,0,0,0,0,0,0,0,0,0,0
17,220,164,0,0,0,0,0,0,0,0,0,0
18,180,204,0,0,0,0,0,0,0,0,0,0
20,140,244,0,0,0,0,0,0,0,0,0,0
21,100,284,0,0,0,0,0,0,0,0,0,0
23,52,332,0,0,0,0,0,0,0,0,0,0
25,12,372,0,0,0,0,0,0,0,0,0,0
26,0,384,0,0,0,0,0,0,0,0,0,0
28,0,384,0,0,0,0,0,0,0,0,0,0
29,0,384,0,0,0,0,0,0,0,0,0,0
31,0,384,0,0,0,0,0,0,0,0,0,0
32,0,384,0,0,84,0,0,0,0,0,0,0
34,16,384,0,0,128,0,0,0,0,0,0,0
36,40,384,0,36,128,0,0,0,0,0,0,0
37,64,384,0,60,128,0,0,0,0,0,0,0
39,96,384,0,84,128,0,0,0,0,0,0,0
41,120,384,0,120,128,0,0,0,0,0,0,0
42,124,384,0,124,128,0,0,0,0,0,0,0
44,124,384,0,124,128,0,0,0,0,0,0,0
46,124,384,0,124,128,0,0,0,0,0,0,0
47,124,384,0,124,128,0,0,0,0,0,0,0
49,124,384,0,124,128,0,0,0,0,0,0,0
51,124,384,0,124,128,0,0,0,0,0,0,0
52,124,384,0,124,128,0,0,0,0,0,0,0
54,124,384,0,124,128,0,0,0,0,0,0,0
56,124,384,0,124,128,0,0,0,0,0,0,0
57,124,384,0,124,128,0,0,0,0,0,0,0
59,124,384,0,124,128,0,0,0,0,0,0,0
61,124,384,0,124,128,0,0,0,0,0,0,0
62,124,336,0,124,128,0,0,0,2,0,0,0
64,124,312,0,124,128,0,0,0,2,0,0,0
66,124,296,0,124,128,0,0,0,2,0,0,0
67,124,288,0,124,128,0,0,0,4,0,0,0
69,120,276,0,124,128,0,0,0,4,0,0,0
70,116,276,0,124,124,4,0,0,4,0,0,0
72,116,268,0,124,120,12,0,4,6,0,0,0
74,116,268,0,124,108,24,0,4,6,0,0,0
75,104,280,0,124,100,32,0,4,2,4,0,0
77,100,284,0,124,76,56,0,4,4,4,0,0
79,84,300,0,124,72,60,0,4,4,4,0,0
80,80,304,0,124,60,72,0,4,4,4,0,0
82,80,304,0,124,60,72,0,4,2,8,0,0
83,80,304,0,124,64,72,0,4,2,8,0,0
85,80,304,0,124,64,72,0,4,2,8,0,0
87,80,304,0,124,64,72,0,4,4,8,0,0
88,80,304,0,124,64,72,0,4,4,8,0,0
90,80,304,0,124,64,72,0,4,4,8,0,0
92,80,304,0,124,64,72,0,4,6,8,0,0
93,160,304,0,124,64,72,0,4,6,8,0,0
95,216,304,0,124,64,72,0,4,6,8,0,0
97,280,304,0,124,64,72,0,4,6,8,0,0
99,336,304,0,124,64,72,0,4,6,8,0,0
101,400,304,0,124,64,72,0,4,6,8,0,0
103,464,304,0,124,64,68,0,4,6,8,0,0
105,472,304,0,124,64,72,0,8,10,8,0,0
107,472,304,0,124,64,72,0,8,12,8,0,0
109,476,304,0,124,64,72,0,8,12,8,0,0
111,476,304,0,124,64,72,0,8,12,8,0,0
113,476,304,0,124,64,72,0,8,14,8,0,0
114,476,304,0,124,64,72,0,8,14,8,0,0
117,480,304,0,124,64,72,0,8,14,8,0,0
119,488,304,0,124,64,72,0,8,16,8,0,0
121,488,304,0,124,64,72,0,8,16,8,0,0
123,488,304,0,124,132,72,0,8,18,8,0,0
125,488,304,0,124,192,72,0,8,18,8,0,0
127,488,304,0,124,192,72,0,8,20,8,0,0
129,488,304,0,124,192,72,0,8,20,8,0,0
131,488,304,0,128,192,72,0,8,20,4,4,0
133,488,308,0,128,192,72,0,8,22,4,4,0
136,488,300,0,128,192,68,0,8,22,4,4,0
138,488,296,0,128,192,68,0,8,20,6,6,0
140,488,296,0,128,192,68,0,8,20,6,6,0
142,488,296,0,128,192,68,0,8,18,6,8,0
144,488,296,0,128,192,68,0,8,12,14,8,0
146,488,296,0,128,192,64,0,8,12,14,8,0
149,488,288,0,128,192,68,0,12,12,16,8,0
151,484,292,0,128,192,68,0,12,6,22,8,0
153,484,292,0,128,192,68,0,12,46,24,8,0
155,484,292,0,128,192,68,0,12,86,24,8,0
158,484,292,0,128,192,68,0,12,120,24,8,0
160,484,292,0,128,192,68,0,12,162,24,8,0
163,488,292,0,128,192,68,0,12,200,24,8,0
165,488,288,0,128,192,68,0,12,202,24,8,0
168,488,288,0,128,192,68,0,12,200,26,8,0
170,488,288,0,128,192,68,0,12,202,26,8,0
173,488,288,0,128,192,68,0,12,202,26,8,0
175,488,288,0,128,192,68,0,12,204,26,8,0
177,488,288,0,128,192,68,0,12,204,26,8,0
180,488,284,0,128,192,64,0,12,204,28,8,0
183,488,284,0,128,188,68,0,12,200,32,8,0
186,488,272,8,128,188,68,0,12,202,32,8,0
188,488,228,52,128,188,68,0,12,202,32,8,0
191,488,188,92,128,184,72,0,12,200,34,8,0
194,488,152,128,128,184,68,4,12,198,36,8,0
196,488,120,160,128,180,72,4,12,198,36,8,0
198,488,88,192,128,176,64,16,12,194,40,8,0
201,476,88,204,128,172,68,16,12,190,44,8,0
203,460,80,228,128,160,76,20,12,190,44,8,0
206,452,76,240,128,152,64,40,12,190,44,8,0
208,428,88,252,128,140,60,56,12,186,48,8,0
211,416,96,256,128,128,68,60,12,184,48,10,0
214,392,116,260,128,120,72,64,12,182,46,14,0
216,344,164,260,128,120,72,64,12,182,38,22,0
219,320,188,260,128,112,80,64,12,182,28,32,0
221,280,228,260,128,100,92,64,12,180,30,32,0
224,256,252,260,128,100,92,64,12,172,38,32,0
227,256,252,260,128,100,92,64,12,170,40,32,0
229,256,252,260,128,100,92,64,12,170,38,34,0
232,256,252,260,128,100,92,64,12,170,38,34,0
234,256,252,260,128,100,92,64,12,168,40,34,0
237,256,252,260,128,100,92,64,12,168,40,34,0
239,256,252,260,128,100,92,64,12,168,40,34,0
242,256,252,260,128,100,92,64,12,168,38,36,0
244,256,252,260,128,100,92,64,12,168,34,40,0
248,252,256,260,128,100,92,64,12,166,34,42,0
250,252,236,280,128,100,92,64,12,166,30,46,0
253,248,240,280,128,100,92,64,12,166,26,50,0
256,248,260,280,136,100,92,64,12,166,20,56,0
259,236,272,280,136,100,92,64,12,166,16,60,0
261,236,272,280,136,100,92,64,12,166,16,60,0
264,236,272,280,136,100,92,64,12,166,16,60,0
267,236,272,280,136,100,92,64,12,162,20,60,0
270,236,272,280,136,100,92,64,12,162,20,60,0
273,236,272,280,136,100,92,64,12,162,20,60,0
275,236,272,280,136,100,92,64,12,162,18,62,0
278,240,272,280,136,100,92,64,12,162,14,66,0
281,240,272,280,136,100,92,64,12,162,14,66,0
284,240,272,280,136,100,92,64,12,162,14,66,0
287,240,264,280,140,100,92,64,12,162,8,72,0
290,240,256,280,140,100,92,64,12,156,14,72,0
292,240,256,280,140,96,96,64,12,150,20,72,0
295,240,256,280,140,96,96,64,12,150,20,72,0
298,240,256,280,140,96,96,64,12,150,18,74,0
300,240,256,280,140,96,96,64,12,136,32,74,0
303,240,256,280,140,96,96,64,12,136,32,74,0
306,236,260,280,140,96,92,68,12,136,32,74,0
308,236,256,280,140,96,92,68,12,136,30,76,0
311,232,260,280,140,92,80,84,12,134,32,76,0
314,232,260,280,140,92,64,100,12,124,42,76,0
317,232,260,280,140,92,52,112,12,122,44,76,0
319,200,288,280,140,92,40,124,12,122,44,76,0
322,236,296,280,180,92,32,132,12,124,44,76,2
325,240,304,280,184,92,32,132,12,132,44,76,10
328,240,304,280,184,92,8,156,12,132,44,76,10
331,240,304,280,188,92,8,156,12,130,42,80,10
334,240,308,280,188,68,32,156,12,136,42,80,14
336,240,308,280,188,68,32,156,12,136,42,80,14
339,240,308,280,188,68,32,156,12,136,42,80,14
342,240,308,280,188,68,32,156,12,136,42,80,14
344,240,308,280,188,68,32,156,12,136,42,80,14
347,240,308,280,188,68,32,156,12,136,42,80,14
350,240,308,280,188,68,32,156,12,136,42,80,14
353,240,272,280,188,68,32,156,12,136,36,82,14
355,240,256,280,188,68,32,156,12,136,30,84,14
358,224,272,280,188,52,48,156,12,132,26,90,14
361,220,272,280,192,40,60,156,12,126,30,92,14
364,216,276,280,196,40,60,156,12,124,14,104,14
367,212,296,280,208,40,60,156,12,122,16,104,14
369,208,300,280,208,40,60,156,12,120,18,104,14
372,208,288,292,208,40,60,156,12,120,18,104,14
375,208,272,308,208,40,60,156,12,118,18,106,14
378,200,252,336,208,36,64,156,12,114,22,106,14
381,192,252,344,208,36,64,156,12,100,36,106,14
384,184,244,360,208,36,64,156,12,100,36,106,14
387,172,220,396,208,36,64,156,12,100,36,106,14
390,152,216,420,208,36,64,156,12,96,40,106,14
393,124,228,436,208,36,64,156,12,96,40,106,14
396,120,204,464,208,36,64,156,12,90,46,106,14
399,112,188,488,208,36,64,156,12,88,48,106,14
401,84,204,492,208,36,64,156,12,86,50,106,14
404,68,200,500,208,32,68,156,12,82,54,106,14
407,44,212,512,208,32,68,156,12,80,56,106,14
410,24,232,512,208,12,88,156,12,80,56,106,14
412,16,240,512,208,12,88,156,12,80,56,106,14
415,16,240,512,208,12,84,160,12,80,56,106,14
418,16,240,512,208,12,84,160,12,80,54,108,14
421,16,240,512,208,0,96,160,12,80,44,118,14
424,16,240,512,208,0,96,160,12,78,46,118,14
426,16,240,512,208,0,96,160,12,78,46,118,14
429,16,236,516,208,0,96,160,12,78,42,122,14
432,8,244,516,208,0,96,160,12,76,44,122,14
435,8,244,516,208,0,92,164,12,76,44,122,14
438,8,232,528,208,0,92,164,12,76,42,124,14
441,8,232,528,208,0,92,164,12,76,24,142,14
444,8,232,528,208,0,92,164,12,70,30,142,14
447,8,232,528,208,0,92,164,12,40,60,142,14
450,8,232,528,208,0,92,164,12,40,56,146,14
453,8,232,528,208,0,92,164,12,40,52,150,14
456,8,232,528,208,0,72,184,12,32,60,150,14
459,8,232,528,208,0,68,188,12,32,56,154,14
461,8,232,528,208,0,68,188,12,32,48,162,14
464,8,232,528,208,0,68,188,12,30,50,162,14
467,4,236,528,208,0,68,188,12,6,74,162,14
470,4,236,528,208,0,68,188,12,0,80,162,14
473,4,236,528,208,0,68,188,12,0,80,162,14
476,4,236,528,208,0,68,188,12,0,80,162,14
478,4,236,528,208,0,40,216,12,0,80,162,14
481,4,236,528,208,0,40,216,12,0,80,162,14
484,4,236,528,208,0,40,216,12,0,78,164,14
487,0,240,528,208,0,40,216,12,0,78,164,14
490,0,240,528,208,0,40,216,12,0,78,164,14
492,0,240,528,208,0,40,216,12,0,78,164,14
495,0,240,528,208,0,40,216,12,0,76,166,14
498,0,240,528,208,0,36,220,12,0,76,166,14
501,0,240,528,208,0,36,220,12,0,76,166,14
504,0,240,528,208,0,36,220,12,0,76,166,14
507,0,240,528,208,0,36,220,12,0,48,194,14
510,0,240,528,208,0,36,220,12,0,40,202,14
512,0,240,528,208,0,36,220,12,0,40,202,14
515,0,240,528,208,0,36,220,12,0,40,202,14
518,0,240,528,208,0,36,220,12,0,32,210,14
521,0,240,528,208,0,36,220,12,0,32,210,14
524,0,240,528,208,0,28,228,12,0,32,210,14
527,0,240,528,208,0,28,228,12,0,18,224,14
531,0,240,528,208,0,28,228,12,0,0,242,14
534,0,240,528,208,0,12,244,12,0,0,242,14
537,0,228,540,208,0,12,244,12,0,0,242,14
539,0,220,548,208,0,12,244,12,0,0,242,14
542,0,220,548,208,0,8,248,12,0,0,242,14
545,0,212,556,208,0,0,256,12,0,0,242,14
548,0,208,560,208,0,0,256,12,0,0,242,14
551,0,208,560,208,0,0,256,12,0,0,242,14
554,0,208,560,208,0,0,256,12,0,0,242,14
556,0,204,564,208,0,0,256,12,0,0,242,14
560,0,192,576,208,0,0,256,12,0,0,242,14
562,0,192,576,208,0,0,256,12,0,0,242,14
566,0,180,588,208,0,0,256,12,0,0,242,14
569,0,156,612,208,0,0,256,12,0,0,242,14
572,0,120,648,208,0,0,256,12,0,0,242,14
574,0,120,648,208,0,0,256,12,0,0,242,14
578,0,120,648,208,0,0,256,12,0,0,242,14
580,0,72,696,208,0,0,256,12,0,0,242,14
583,0,44,724,208,0,0,256,12,0,0,242,14
586,0,44,724,208,0,0,256,12,0,0,242,14
589,0,36,732,208,0,0,256,12,0,0,242,14
592,0,16,752,208,0,0,256,12,0,0,242,14
595,0,16,752,208,0,0,256,12,0,0,242,14
597,0,16,752,208,0,0,256,12,0,0,242,14
600,0,16,752,208,0,0,256,12,0,0,242,14
603,0,16,752,208,0,0,256,12,0,0,242,14
606,0,16,752,208,0,0,256,12,0,0,242,14
609,0,16,752,208,0,0,256,12,0,0,242,14
613,0,16,752,208,0,0,256,12,0,0,242,14
616,0,8,760,208,0,0,256,12,0,0,242,14
619,0,8,760,208,0,0,256,12,0,0,242,14
622,0,8,760,208,0,0,256,12,0,0,242,14
625,0,8,760,208,0,0,256,12,0,0,242,14
627,0,8,760,208,0,0,256,12,0,0,242,14
630,0,8,760,208,0,0,256,12,0,0,242,14
633,0,8,760,208,0,0,256,12,0,0,242,14
636,0,8,760,208,0,0,256,12,0,0,242,14
639,0,8,760,208,0,0,256,12,0,0,242,14
642,0,8,760,208,0,0,256,12,0,0,242,14
645,0,8,760,208,0,0,256,12,0,0,242,14
648,0,4,764,208,0,0,256,12,0,0,242,14
650,0,4,764,208,0,0,256,12,0,0,242,14
653,0,4,764,208,0,0,256,12,0,0,242,14
656,0,4,764,208,0,0,256,12,0,0,242,14
659,0,4,764,208,0,0,256,12,0,0,242,14
662,0,4,764,208,0,0,256,12,0,0,242,14
665,0,4,764,208,0,0,256,12,0,0,242,14
667,0,0,768,208,0,0,256,12,0,0,242,14
