timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted
0,0,0,0,0
2,84,0,0,0
3,124,0,0,0
4,168,0,0,0
6,204,8,0,0
7,248,16,0,0
9,272,32,0,0
10,296,44,0,0
11,320,64,0,0
13,288,96,0,0
14,252,132,0,0
16,216,168,0,0
17,172,212,0,0
19,140,244,0,0
21,104,280,0,0
22,64,320,0,0
24,24,360,0,0
25,0,384,0,0
27,0,384,0,0
29,0,384,0,0
30,0,384,0,0
32,0,384,0,0
33,0,384,0,0
35,0,384,0,0
36,0,384,0,0
38,0,384,0,0
39,0,384,0,0
41,0,384,0,0
43,0,384,0,0
44,0,384,0,0
46,0,384,0,0
48,0,384,0,0
49,0,384,0,0
51,0,384,0,0
53,0,384,0,0
54,0,384,0,0
56,0,384,0,0
57,0,384,0,0
59,0,384,0,0
61,0,384,0,0
62,0,384,0,0
64,0,384,0,0
65,0,384,0,0
67,0,384,0,0
68,0,384,0,0
70,0,384,0,0
72,0,384,0,0
73,0,384,0,0
75,0,384,0,0
76,0,384,0,0
78,0,384,0,0
80,0,384,0,0
81,0,384,0,0
83,0,384,0,0
84,0,384,0,0
86,0,384,0,0
88,0,384,0,0
89,0,384,0,0
91,0,384,0,0
93,48,384,0,0
94,104,384,0,0
96,164,384,0,0
98,224,384,0,0
100,284,384,0,0
101,344,384,0,0
103,384,384,0,0
105,384,384,0,0
107,384,384,0,0
109,384,384,0,0
111,384,384,0,0
113,384,384,0,0
115,384,384,0,0
117,384,384,0,0
119,384,384,0,0
121,384,384,0,0
123,384,384,0,0
124,384,384,0,0
126,384,384,0,0
128,384,384,0,0
130,384,384,0,0
132,384,384,0,0
134,384,384,0,0
136,384,384,0,0
138,384,384,0,0
139,384,384,0,0
141,384,384,0,0
143,384,384,0,0
145,384,384,0,0
147,384,384,0,0
149,384,384,0,0
151,384,384,0,0
153,384,384,0,0
155,384,384,0,0
157,384,384,0,0
159,384,384,0,0
161,384,384,0,0
162,384,384,0,0
164,384,384,0,0
166,384,384,0,0
168,384,384,0,0
170,384,384,0,0
172,384,384,0,0
174,384,384,0,0
176,384,384,0,0
178,384,384,0,0
180,384,384,0,0
181,384,384,0,0
183,384,384,0,0
185,384,364,20,0
187,384,336,48,0
189,384,300,84,0
191,384,260,124,0
193,380,244,144,0
195,368,224,176,0
197,348,216,204,0
199,340,180,248,0
201,332,140,296,0
203,332,140,296,0
205,316,136,316,0
207,296,132,340,0
209,256,156,356,0
211,228,160,380,0
213,188,196,384,0
215,156,228,384,0
217,100,284,384,0
219,88,296,384,0
221,48,336,384,0
223,8,376,384,0
225,0,384,384,0
228,0,384,384,0
230,0,384,384,0
232,0,384,384,0
234,0,384,384,0
237,0,384,384,0
239,0,384,384,0
241,0,384,384,0
243,0,384,384,0
245,0,384,384,0
247,0,384,384,0
249,0,384,384,0
251,0,384,384,0
253,0,384,384,0
255,0,384,384,0
257,0,384,384,0
259,0,384,384,0
261,0,384,384,0
263,0,384,384,0
265,0,384,384,0
267,0,384,384,0
269,0,384,384,0
271,0,384,384,0
274,0,384,384,0
276,0,384,384,0
278,0,384,384,0
280,0,384,384,0
282,0,384,384,0
284,0,384,384,0
286,0,384,384,0
288,0,384,384,0
290,0,384,384,0
292,0,384,384,0
294,0,384,384,0
296,0,384,384,0
298,0,384,384,0
300,0,384,384,0
302,0,384,384,0
304,0,384,384,0
306,0,384,384,0
308,0,384,384,0
310,0,384,384,0
312,0,384,384,0
315,0,384,384,0
317,0,384,384,0
319,0,384,384,0
321,0,384,384,0
323,0,384,384,0
325,0,384,384,0
327,0,384,384,0
329,0,384,384,0
331,0,384,384,0
333,0,384,384,0
335,0,384,384,0
337,0,384,384,0
339,0,384,384,0
341,0,384,384,0
343,0,384,384,0
345,0,384,384,0
347,0,384,384,0
349,0,384,384,0
351,0,384,384,0
353,0,384,384,0
356,0,384,384,0
358,0,384,384,0
360,0,384,384,0
362,0,384,384,0
364,0,384,384,0
366,0,384,384,0
368,0,384,384,0
370,0,380,388,0
372,0,340,428,0
374,0,336,432,0
376,0,308,460,0
379,0,260,508,0
381,0,240,528,0
383,0,240,528,0
385,0,240,528,0
387,0,212,556,0
389,0,152,616,0
391,0,108,660,0
393,0,88,680,0
395,0,88,680,0
397,0,44,724,0
400,0,0,768,0
