timestamp,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
60,0,0,0,0
61,2,0,0,0
62,2,0,0,0
63,0,2,0,0
64,0,2,0,0
65,0,2,0,0
66,2,2,0,0
68,0,4,0,0
69,0,4,0,0
70,0,4,0,0
71,2,4,0,0
72,0,6,0,0
73,0,6,0,0
74,0,6,0,0
76,0,6,0,0
77,2,6,0,0
78,0,8,0,0
79,0,8,0,0
80,0,8,0,0
81,2,8,0,0
83,0,10,0,0
84,0,10,0,0
85,0,10,0,0
86,2,10,0,0
87,0,12,0,0
88,0,12,0,0
89,0,12,0,0
91,0,12,0,0
92,2,12,0,0
93,0,14,0,0
94,0,14,0,0
95,0,14,0,0
97,2,14,0,0
98,0,16,0,0
99,0,16,0,0
100,0,16,0,0
101,2,16,0,0
102,2,16,0,0
103,0,18,0,0
105,0,18,0,0
106,2,18,0,0
107,2,18,0,0
108,0,20,0,0
109,0,20,0,0
111,0,20,0,0
112,2,20,0,0
113,0,22,0,0
114,0,22,0,0
115,0,22,0,0
116,2,22,0,0
118,2,22,0,0
119,0,24,0,0
120,0,24,0,0
121,2,24,0,0
122,0,26,0,0
124,0,26,0,0
125,0,24,2,0
126,2,24,2,0
127,0,26,2,0
128,0,26,2,0
130,0,24,4,0
131,0,24,4,0
132,2,24,4,0
133,0,26,4,0
134,0,24,6,0
136,0,24,6,0
137,2,24,6,0
138,0,26,6,0
139,0,24,8,0
140,0,24,8,0
142,2,24,8,0
143,0,26,8,0
144,0,24,10,0
145,0,24,10,0
146,2,24,10,0
148,0,26,10,0
149,0,26,10,0
150,0,24,12,0
151,26,24,12,0
153,48,24,12,0
154,72,24,12,0
156,90,28,12,0
157,114,32,12,0
159,130,34,14,0
160,148,42,14,0
162,156,54,14,0
163,158,62,14,0
165,146,74,14,0
166,132,86,16,0
168,116,104,16,0
170,94,126,16,0
171,72,148,16,0
173,50,172,16,0
175,30,190,18,0
176,12,206,20,0
178,2,216,22,0
179,0,218,22,0
181,0,216,24,0
183,0,216,24,0
184,2,216,24,0
186,0,216,26,0
188,0,216,26,0
190,0,214,28,0
191,0,214,28,0
193,0,214,28,0
194,0,214,28,0
196,0,212,30,0
198,0,212,30,0
200,0,212,30,0
201,0,210,32,0
203,0,210,32,0
205,0,210,32,0
206,0,208,34,0
208,0,208,34,0
210,0,208,34,0
211,0,206,36,0
213,0,206,36,0
215,0,206,36,0
217,0,182,60,0
218,0,168,74,0
220,0,146,96,0
222,0,120,122,0
223,0,96,146,0
225,0,80,162,0
227,0,62,180,0
229,0,44,198,0
230,0,30,212,0
232,0,14,228,0
234,0,6,236,0
235,0,6,236,0
237,0,4,238,0
239,0,4,238,0
241,0,4,238,0
242,0,2,240,0
244,0,2,240,0
246,0,2,240,0
248,0,0,242,0
