experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E1-tenant1,1,tenant1,768,10914,57,34562,45476,393
E1-tenant1,2,tenant1,768,10983,57,34563,45546,394
E1-tenant1,3,tenant1,768,10999,57,34561,45560,403
E1-tenant1,4,tenant1,768,10905,57,34564,45469,393
E1-tenant1,5,tenant1,768,11024,57,34561,45585,395
