,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,all_running
0,0,0,0,0,0,0
1,2,84,0,0,0,0
2,3,124,0,0,0,0
3,4,164,0,0,0,0
4,5,200,4,0,0,4
5,7,236,12,0,0,12
6,8,284,20,0,0,20
7,10,304,32,0,0,32
8,11,324,48,0,0,48
9,12,308,76,0,0,76
10,14,276,108,0,0,108
11,15,232,152,0,0,152
12,17,192,192,0,0,192
13,18,160,224,0,0,224
14,20,124,260,0,0,260
15,21,92,292,0,0,292
16,23,60,324,0,0,324
17,24,20,364,0,0,364
18,26,0,384,0,0,384
19,27,0,384,0,0,384
20,29,0,384,0,0,384
21,30,0,384,0,0,384
22,32,0,384,0,0,384
23,33,0,384,0,0,384
24,35,0,384,0,0,384
25,36,0,384,0,0,384
26,38,0,384,0,0,384
27,39,0,384,0,0,384
28,41,0,384,0,0,384
29,42,0,384,0,0,384
30,44,0,384,0,0,384
31,45,0,384,0,0,384
32,47,0,384,0,0,384
33,48,0,384,0,0,384
34,50,0,384,0,0,384
35,51,0,384,0,0,384
36,53,0,384,0,0,384
37,54,0,384,0,0,384
38,56,0,384,0,0,384
39,57,0,384,0,0,384
40,59,0,384,0,0,384
41,60,0,384,0,0,384
42,62,0,384,0,0,384
43,63,0,384,0,0,384
44,65,0,384,0,0,384
45,66,0,384,0,0,384
46,68,0,384,0,0,384
47,69,0,384,0,0,384
48,71,0,384,0,0,384
49,72,0,384,0,0,384
50,74,0,384,0,0,384
51,75,0,384,0,0,384
52,77,0,384,0,0,384
53,78,0,384,0,0,384
54,80,0,384,0,0,384
55,81,0,384,0,0,384
56,83,0,384,0,0,384
57,84,0,384,0,0,384
58,86,0,384,0,0,384
59,87,0,384,0,0,384
60,89,0,384,0,0,384
61,91,0,384,0,0,384
62,92,12,384,0,0,384
63,94,100,384,0,0,384
64,95,148,384,0,0,384
65,97,204,384,0,0,384
66,99,264,384,0,0,384
67,101,324,384,0,0,384
68,102,384,384,0,0,384
69,104,384,384,0,0,384
70,106,384,384,0,0,384
71,108,384,384,0,0,384
72,110,384,384,0,0,384
73,111,384,384,0,0,384
74,113,384,384,0,0,384
75,115,384,384,0,0,384
76,117,384,384,0,0,384
77,119,384,384,0,0,384
78,120,384,384,0,0,384
79,122,384,384,0,0,384
80,124,384,384,0,0,384
81,126,384,384,0,0,384
82,128,384,384,0,0,384
83,129,384,384,0,0,384
