timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted
0,0,0,0,0
1,84,0,0,0
3,124,0,0,0
4,160,4,0,0
5,196,12,0,0
7,240,24,0,0
8,268,36,0,0
9,292,44,0,0
11,324,52,0,0
12,300,84,0,0
14,268,116,0,0
16,232,152,0,0
17,192,192,0,0
19,152,232,0,0
20,108,276,0,0
22,72,312,0,0
23,24,360,0,0
25,0,384,0,0
27,0,384,0,0
28,0,384,0,0
30,0,384,0,0
32,0,384,0,0
33,0,384,0,0
35,0,384,0,0
37,0,384,0,0
38,0,384,0,0
40,0,384,0,0
41,0,384,0,0
43,0,384,0,0
45,0,384,0,0
46,0,384,0,0
48,0,384,0,0
49,0,384,0,0
51,0,384,0,0
53,0,384,0,0
54,0,384,0,0
56,0,384,0,0
57,0,384,0,0
59,0,384,0,0
60,0,384,0,0
62,0,384,0,0
64,0,384,0,0
65,0,384,0,0
67,0,384,0,0
68,0,384,0,0
70,0,384,0,0
71,0,384,0,0
73,0,384,0,0
75,0,384,0,0
76,0,384,0,0
78,0,384,0,0
79,0,384,0,0
81,0,384,0,0
83,0,384,0,0
84,0,384,0,0
86,0,384,0,0
87,0,384,0,0
89,0,384,0,0
91,0,384,0,0
92,56,384,0,0
94,116,384,0,0
96,168,384,0,0
98,228,384,0,0
99,284,384,0,0
101,348,384,0,0
103,384,384,0,0
105,384,384,0,0
107,384,384,0,0
109,384,384,0,0
111,384,384,0,0
113,384,384,0,0
115,384,384,0,0
117,384,384,0,0
119,384,384,0,0
120,384,384,0,0
123,384,384,0,0
124,384,384,0,0
126,384,384,0,0
128,384,384,0,0
130,384,384,0,0
132,384,384,0,0
134,384,384,0,0
136,384,384,0,0
138,384,384,0,0
140,384,384,0,0
142,384,384,0,0
144,384,384,0,0
146,384,384,0,0
148,384,384,0,0
150,384,384,0,0
152,384,384,0,0
154,384,384,0,0
156,384,384,0,0
158,384,384,0,0
160,384,384,0,0
162,384,384,0,0
164,384,384,0,0
166,384,384,0,0
168,384,384,0,0
170,384,384,0,0
172,384,384,0,0
173,384,384,0,0
175,384,384,0,0
177,384,384,0,0
179,384,384,0,0
181,384,384,0,0
183,384,384,0,0
185,384,380,4,0
187,384,340,44,0
189,384,308,76,0
190,384,256,128,0
192,380,240,148,0
194,380,216,172,0
196,364,200,204,0
198,352,176,240,0
200,340,148,280,0
202,340,128,300,0
204,340,116,312,0
206,308,140,320,0
208,276,164,328,0
210,248,180,340,0
212,224,184,360,0
214,204,200,364,0
216,168,232,368,0
218,144,240,384,0
220,88,296,384,0
222,52,332,384,0
224,16,368,384,0
226,0,384,384,0
228,0,384,384,0
230,0,384,384,0
232,0,384,384,0
234,0,384,384,0
236,0,384,384,0
238,0,384,384,0
240,0,384,384,0
242,0,384,384,0
245,0,384,384,0
247,0,384,384,0
249,0,384,384,0
251,0,384,384,0
253,0,384,384,0
255,0,384,384,0
257,0,384,384,0
259,0,384,384,0
261,0,384,384,0
263,0,384,384,0
265,0,384,384,0
267,0,384,384,0
269,0,384,384,0
271,0,384,384,0
273,0,384,384,0
276,0,384,384,0
278,0,384,384,0
280,0,384,384,0
282,0,384,384,0
284,0,384,384,0
286,0,384,384,0
288,0,384,384,0
291,0,384,384,0
293,0,384,384,0
295,0,384,384,0
297,0,384,384,0
299,0,384,384,0
301,0,384,384,0
303,0,384,384,0
305,0,384,384,0
307,0,384,384,0
309,0,384,384,0
311,0,384,384,0
313,0,384,384,0
316,0,384,384,0
318,0,384,384,0
320,0,384,384,0
322,0,384,384,0
324,0,384,384,0
326,0,384,384,0
328,0,384,384,0
331,0,384,384,0
333,0,384,384,0
335,0,384,384,0
337,0,384,384,0
339,0,384,384,0
341,0,384,384,0
343,0,384,384,0
345,0,384,384,0
347,0,384,384,0
349,0,384,384,0
351,0,384,384,0
353,0,384,384,0
355,0,384,384,0
358,0,384,384,0
360,0,384,384,0
362,0,384,384,0
364,0,384,384,0
366,0,384,384,0
368,0,384,384,0
370,0,380,388,0
372,0,340,428,0
374,0,340,428,0
376,0,312,456,0
378,0,248,520,0
380,0,248,520,0
382,0,248,520,0
384,0,248,520,0
386,0,216,552,0
389,0,156,612,0
391,0,108,660,0
393,0,92,676,0
395,0,92,676,0
397,0,40,728,0
399,0,28,740,0
401,0,28,740,0
403,0,28,740,0
405,0,20,748,0
408,0,0,768,0
