experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E4,1,tenant1,768,30295,158,34561,64856,589
E4,1,tenant2,256,6184,97,7680,13864,402
E4,1,tenant3,242,10147,84,7261,17408,329
E4,2,tenant1,768,30810,160,34562,65372,588
E4,2,tenant2,256,6832,107,7680,14512,399
E4,2,tenant3,242,10139,84,7262,17401,334
E4,3,tenant1,768,30420,158,34560,64980,587
E4,3,tenant2,256,6515,102,7682,14197,403
E4,3,tenant3,242,10112,84,7265,17377,331
E4,4,tenant1,768,30496,159,34564,65060,587
E4,4,tenant2,256,6603,103,7680,14283,399
E4,4,tenant3,242,9979,82,7260,17239,334
E4,5,tenant1,768,30873,161,34560,65433,588
E4,5,tenant2,256,6835,107,7681,14516,398
E4,5,tenant3,242,10154,84,7261,17415,333
