timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
1,80,0,0,0,0,0,0,0,0,0,0,0
2,124,0,0,0,0,0,0,0,0,0,0,0
4,164,0,0,0,0,0,0,0,0,0,0,0
5,192,16,0,0,0,0,0,0,0,0,0,0
6,236,24,0,0,0,0,0,0,0,0,0,0
8,272,32,0,0,0,0,0,0,0,0,0,0
9,288,48,0,0,0,0,0,0,0,0,0,0
11,324,56,0,0,0,0,0,0,0,0,0,0
12,296,88,0,0,0,0,0,0,0,0,0,0
14,268,116,0,0,0,0,0,0,0,0,0,0
15,232,152,0,0,0,0,0,0,0,0,0,0
17,196,188,0,0,0,0,0,0,0,0,0,0
18,164,220,0,0,0,0,0,0,0,0,0,0
20,124,260,0,0,0,0,0,0,0,0,0,0
21,84,300,0,0,0,0,0,0,0,0,0,0
23,44,340,0,0,0,0,0,0,0,0,0,0
24,4,380,0,0,0,0,0,0,0,0,0,0
26,0,384,0,0,0,0,0,0,0,0,0,0
27,0,384,0,0,0,0,0,0,0,0,0,0
29,0,384,0,0,0,0,0,0,0,0,0,0
31,0,384,0,0,44,0,0,0,0,0,0,0
32,0,384,0,0,104,0,0,0,0,0,0,0
34,20,384,0,16,128,0,0,0,0,0,0,0
36,52,384,0,40,128,0,0,0,0,0,0,0
38,80,384,0,76,128,0,0,0,0,0,0,0
39,108,384,0,100,128,0,0,0,0,0,0,0
41,124,384,0,124,128,0,0,0,0,0,0,0
43,124,384,0,124,128,0,0,0,0,0,0,0
44,124,384,0,124,128,0,0,0,0,0,0,0
46,124,384,0,124,128,0,0,0,0,0,0,0
48,124,384,0,124,128,0,0,0,0,0,0,0
50,124,384,0,124,128,0,0,0,0,0,0,0
51,124,384,0,124,128,0,0,0,0,0,0,0
53,124,384,0,124,128,0,0,0,0,0,0,0
55,124,384,0,124,128,0,0,0,0,0,0,0
57,124,384,0,124,128,0,0,0,0,0,0,0
58,124,384,0,124,128,0,0,0,0,0,0,0
60,124,384,0,124,128,0,0,0,0,0,0,0
62,124,360,0,124,128,0,0,0,2,0,0,0
63,124,328,0,124,128,0,0,0,2,0,0,0
65,124,300,0,124,128,0,0,0,2,0,0,0
67,124,288,0,124,128,0,0,0,4,0,0,0
68,124,280,0,124,128,0,0,0,4,0,0,0
70,124,268,0,124,120,8,0,0,4,0,0,0
72,120,268,0,124,108,20,0,0,4,2,0,0
