timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
237,496,264,128,364,108,24,124,4,170,66,36,30
239,496,264,128,364,108,24,124,4,170,66,36,30
242,496,240,128,364,108,24,124,4,170,62,36,30
245,496,208,128,364,108,24,124,4,172,56,36,32
248,496,204,128,364,108,24,124,4,172,54,36,32
250,492,204,128,364,92,40,124,4,170,56,36,32
253,488,196,132,364,52,80,124,4,166,60,36,32
256,472,200,136,364,48,84,124,4,160,62,36,32
258,472,176,152,364,40,92,124,4,158,58,38,32
261,472,148,164,364,32,100,124,4,158,50,42,32
264,472,140,168,364,32,100,124,4,158,42,46,32
266,464,132,172,364,28,104,124,4,156,42,46,32
269,444,144,180,364,16,116,124,4,150,40,54,32
272,420,168,180,364,12,120,124,4,146,40,58,32
274,412,176,180,364,8,124,124,4,138,36,68,32
277,408,180,180,364,8,124,124,4,128,44,70,32
280,408,180,180,364,8,124,124,4,116,56,70,32
282,408,180,180,364,8,124,124,4,106,66,70,32
285,408,180,180,364,8,124,124,4,96,76,70,32
288,408,180,180,364,8,124,124,4,92,80,70,32
291,408,180,180,364,8,124,124,4,92,80,70,32
293,408,180,180,364,8,124,124,4,92,80,70,32
296,408,180,180,364,8,124,124,4,92,80,70,32
299,408,180,180,364,8,124,124,4,92,80,70,32
301,408,180,180,364,8,124,124,4,92,80,70,32
304,408,180,180,364,8,124,124,4,92,80,70,32
307,408,180,180,364,8,124,124,4,92,80,70,32
310,408,180,180,364,8,124,124,4,92,74,76,32
312,404,184,180,364,8,124,124,4,92,72,78,32
315,404,184,180,364,8,112,136,4,92,70,80,32
318,404,184,180,364,8,112,136,4,92,66,84,32
320,404,184,180,364,8,112,136,4,92,66,84,32
323,392,196,180,364,0,120,136,4,90,62,90,32
326,392,196,180,364,0,112,144,4,90,62,90,32
329,392,196,180,364,0,112,144,4,90,50,102,32
331,380,208,180,364,0,112,144,4,90,48,104,32
334,368,220,180,364,0,112,144,4,86,52,104,32
337,368,220,180,364,0,108,148,4,86,52,104,32
340,368,220,180,364,0,108,148,4,86,30,126,32
342,360,232,180,388,0,108,148,8,86,20,136,32
345,388,244,180,396,16,108,148,20,86,10,146,32
348,380,252,180,396,16,108,148,20,84,10,148,32
351,380,252,180,396,16,108,148,20,84,8,150,32
353,380,252,180,408,16,108,148,20,84,8,150,32
