timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,0,0,0,0,0,0,0,0,0,0,0
2,124,0,0,0,0,0,0,0,0,0,0,0
4,168,0,0,0,0,0,0,0,0,0,0,0
5,208,0,0,0,0,0,0,0,0,0,0,0
6,256,0,0,0,0,0,0,0,0,0,0,0
8,304,0,0,0,0,0,0,0,0,0,0,0
9,348,0,0,0,0,0,0,0,0,0,0,0
11,376,8,0,0,0,0,0,0,0,0,0,0
12,364,20,0,0,0,0,0,0,0,0,0,0
14,356,28,0,0,0,0,0,0,0,0,0,0
15,328,56,0,0,0,0,0,0,0,0,0,0
17,300,84,0,0,0,0,0,0,0,0,0,0
18,268,116,0,0,0,0,0,0,0,0,0,0
20,240,144,0,0,0,0,0,0,0,0,0,0
21,200,184,0,0,0,0,0,0,0,0,0,0
23,156,228,0,0,0,0,0,0,0,0,0,0
24,112,272,0,0,0,0,0,0,0,0,0,0
26,72,312,0,0,0,0,0,0,0,0,0,0
27,24,360,0,0,0,0,0,0,0,0,0,0
29,0,384,0,0,0,0,0,0,0,0,0,0
31,0,384,0,0,16,0,0,0,0,0,0,0
32,0,384,0,0,104,0,0,0,0,0,0,0
34,0,384,0,0,128,0,0,0,0,0,0,0
35,12,384,0,12,128,0,0,0,0,0,0,0
37,12,384,0,12,128,0,0,0,0,0,0,0
39,16,372,0,24,124,4,0,0,0,0,0,0
40,24,372,0,24,116,12,0,0,0,0,0,0
42,24,364,0,24,116,12,0,0,0,0,0,0
44,36,360,0,36,112,16,0,0,0,0,0,0
45,36,360,0,36,112,16,0,0,0,0,0,0
47,40,348,0,44,108,20,0,0,0,0,0,0
49,48,348,0,48,100,28,0,0,0,0,0,0
50,48,344,0,48,100,28,0,0,0,0,0,0
52,60,336,0,60,100,28,0,0,0,0,0,0
54,60,336,0,60,100,28,0,0,0,0,0,0
55,64,324,0,68,88,40,0,0,0,0,0,0
57,72,324,0,72,80,48,0,0,0,0,0,0
58,72,320,0,72,80,48,0,0,0,0,0,0
60,72,312,0,72,80,48,0,0,0,0,0,0
62,72,312,0,72,80,48,0,0,2,0,0,0
63,72,312,0,72,80,48,0,0,2,0,0,0
65,72,312,0,72,68,60,0,4,2,0,0,0
67,72,312,0,72,60,68,0,4,2,2,0,0
68,72,312,0,72,60,68,0,4,2,2,0,0
70,72,312,0,72,60,68,0,4,0,4,0,0
72,72,312,0,72,60,68,0,4,2,4,0,0
