experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E5,1,tenant1,768,47535,248,34562,82097,708
E5,1,tenant2,256,4140,65,7682,11822,433
E5,1,tenant3,242,15350,127,7262,22612,425
E5,1,backfill,384,30732,640,17281,48013,1111
E5,3,tenant1,768,54617,284,34563,89180,781
E5,3,tenant2,256,6884,108,7681,14565,450
E5,3,tenant3,242,18623,154,7263,25886,468
E5,3,backfill,384,32859,685,17280,50139,1184
E5,5,tenant1,768,49364,257,34560,83924,729
E5,5,tenant2,256,7485,117,7682,15167,455
E5,5,tenant3,242,17789,147,7261,25050,466
E5,5,backfill,384,31817,663,17280,49097,1130
E5,4,tenant1,768,54903,286,34563,89466,783
E5,4,tenant2,256,6066,95,7682,13748,456
E5,4,tenant3,242,18197,150,7261,25458,444
E5,4,backfill,384,32339,674,17280,49619,1186
E5,2,tenant1,768,51218,267,34564,85782,759
E5,2,tenant2,256,4540,71,7681,12221,458
E5,2,tenant3,242,21324,176,7263,28587,498
E5,2,backfill,384,32066,668,17280,49346,1161
